id,district,address,total_price,price_per_meter,build_time,num_of_bedrooms,num_of_living_rooms,size,orientation,building_type,num_of_floors
2701,昌平,小汤山苗圃宿舍楼,稍低价格,稍低价格,1999,2,1,稍低价格,南 北,顶层 ,6
2702,昌平,金科廊桥水岸,中高价格,中价格,2014,4,1,中高价格,南 北,中楼层 ,6
2703,昌平,清水园二期,中价格,中价格,2003,2,1,中价格,南,底层 ,7
2704,昌平,富康路11号,稍低价格,稍低价格,1995,2,2,中价格,南 北,高楼层 ,6
2705,昌平,大三尖,稍低价格,稍低价格,1996,3,2,中高价格,南 北,低楼层 ,6
2706,昌平,五街电信局宿舍楼,低价格,稍低价格,1981,2,1,低价格,南 北,中楼层 ,5
2707,昌平,毛条小区,稍低价格,中价格,1993,3,1,稍低价格,南 北,中楼层 ,5
2708,昌平,水利局宿舍,中价格,稍低价格,1983,3,2,中高价格,南 北,中楼层 ,4
2709,昌平,龙跃苑二区,中价格,中价格,2003,2,2,中价格,南 北,高楼层 ,6
2710,昌平,泰胡路22号院,稍低价格,稍低价格,1998,3,1,中价格,南 北,低楼层 ,3
2711,昌平,新新公寓,稍低价格,中价格,2003,1,2,中价格,南,底层 ,23
2712,昌平,农垦学院家属楼,稍低价格,中价格,1986,2,1,低价格,南 北,顶层 ,6
2713,昌平,龙城花园S区,稍低价格,中价格,1999,2,1,稍低价格,南 北,中楼层 ,6
2714,昌平,城角西路13号院,稍低价格,稍低价格,1989,3,1,稍低价格,南 北,低楼层 ,6
2715,昌平,东二旗新村,稍低价格,中价格,2013,1,1,稍低价格,南,低楼层 ,9
2716,昌平,南厂北区,低价格,稍低价格,1986,2,1,低价格,南 北,中楼层 ,5
2717,昌平,回南家园,稍低价格,中价格,2001,2,1,中价格,南 北,中楼层 ,5
2718,昌平,管厂宿舍,稍低价格,稍低价格,1984,2,1,低价格,南 北,顶层 ,6
2719,昌平,郝庄家园南区,稍低价格,稍低价格,2001,3,2,中高价格,南 北,顶层 ,6
